user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform,stress_level_num,cluster,segmento
2827,39,3.71,2.28,8.96,9.7,5.68,66.94,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
6097,36,0.99,5.99,5.51,4.27,5.69,42.12,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
8433,30,2.94,2.27,8.28,4.98,3.16,91.46,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
3991,30,3.06,10.69,5.13,7.53,5.75,55.02,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
10909,32,4.95,8.22,7.8,1.83,5.73,80.48,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
8911,16,4.3,9.24,5.45,3.98,1.46,86.8,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
318,17,3.64,5.6,8.25,5.5,5.32,43.33,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
7264,19,4.46,11.4,5.3,7.24,2.82,41.67,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
10250,31,3.19,5.83,4.76,8.53,1.44,46.99,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
7890,37,1.45,5.42,4.31,5.34,8.51,94.43,Medium,YouTube Shorts,2,2,Bajo consumo / Alto rendimiento
5407,29,4.03,7.33,4.66,1.43,3.11,64.66,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
978,15,4.37,2.58,8.56,9.18,3.02,56.11,High,TikTok,3,0,Alto consumo / Alto rendimiento
1341,42,4.62,6.37,7.71,6.76,5.78,65.08,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
4362,27,2.98,6.73,6.84,8.94,9.3,42.87,High,TikTok,3,0,Alto consumo / Alto rendimiento
6443,18,1.58,5.19,7.3,3.86,2.73,52.62,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
3127,34,1.38,5.65,4.95,6.8,3.34,80.23,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
2119,41,2.2,6.88,4.55,4.13,8.61,90.52,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
10451,43,5.11,7.03,5.63,4.63,5.5,57.75,Medium,TikTok,2,2,Bajo consumo / Alto rendimiento
10583,24,4.27,7.61,5.48,2.65,1.36,86.56,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
11503,44,3.43,4.97,7.17,8.5,2.36,57.42,Medium,TikTok,2,2,Bajo consumo / Alto rendimiento
3960,21,1.28,6.6,6.06,4.07,4.09,64.64,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
2582,42,3.56,11.26,8.97,3.14,4.56,43.16,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
7364,25,5.96,2.96,6.28,4.54,5.09,88.74,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
5711,33,5.17,6.52,4.37,4.22,4.91,83.46,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
5957,40,1.33,8.37,7.17,5.21,4.02,43.8,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
3609,36,2.29,5.82,5.89,9.48,1.95,67.78,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
10458,44,5.48,4.82,6.95,5.06,7.16,71.08,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
3753,39,0.58,5.08,5.71,4.62,5.81,43.56,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
3695,30,2.93,6.46,4.78,6.8,4.46,64.42,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
4575,17,4.36,4.84,5.46,5.22,1.18,96.64,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
7787,15,2.44,5.5,4.47,9.66,1.03,57.2,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
1107,38,4.94,4.4,5.33,9.77,6.79,77.93,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
5190,39,0.98,11.79,4.33,7.85,9.8,51.81,High,TikTok,3,0,Alto consumo / Alto rendimiento
10967,20,1.13,8.48,7.91,7.69,5.74,86.65,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
6191,27,1.17,6.41,8.66,7.6,8.76,69.89,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
158,16,1.54,9.8,8.66,4.57,8.32,88.57,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
9837,18,4.93,6.3,7.12,7.76,1.5,56.57,High,TikTok,3,0,Alto consumo / Alto rendimiento
8202,24,4.79,10.65,5.98,2.61,6.71,99.53,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
741,37,5.34,11.8,5.82,3.38,2.5,42.24,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
2279,37,2.77,7.38,5.58,6.1,7.18,74.94,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
9358,24,2.72,11.07,5.61,9.45,1.12,90.5,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
9631,16,5.94,11.24,8.62,3.23,8.93,84.6,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
2432,29,4.1,3.39,8.1,5.35,1.24,82.6,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
1321,16,2.45,8.19,4.51,7.68,7.1,75.32,High,TikTok,3,0,Alto consumo / Alto rendimiento
8847,25,5.41,11.97,5.23,3.18,9.1,67.17,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
5282,16,4.8,8.2,4.39,8.02,6.07,70.62,High,TikTok,3,0,Alto consumo / Alto rendimiento
9808,32,3.58,2.96,6.07,3.58,9.62,79.38,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
10795,33,2.22,2.76,8.32,1.88,1.08,89.92,High,TikTok,3,3,Alto consumo / Bajo rendimiento
10602,20,2.12,9.77,4.39,1.67,9.88,66.51,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
1468,34,2.17,5.92,8.5,5.03,9.68,97.26,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
8558,37,3.17,3.67,7.9,2.9,1.37,78.49,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
9097,26,1.51,10.11,8.76,8.09,8.03,65.36,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
2487,28,2.43,7.11,8.86,3.27,7.02,59.37,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
9080,15,2.53,5.03,4.22,2.05,9.77,82.38,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
4094,37,2.12,4.29,7.27,1.31,6.21,65.56,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
5409,21,0.53,6.29,5.99,5.27,7.85,94.5,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
6914,31,5.84,10.17,7.32,3.23,1.04,66.18,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
6794,31,4.67,11.9,7.41,6.46,7.67,96.13,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
7495,21,2.4,5.48,6.14,3.47,7.34,94.07,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
2689,29,4.63,4.53,4.86,8.45,3.53,99.76,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
8197,43,1.71,6.56,6.88,1.86,8.98,98.11,Medium,TikTok,2,3,Alto consumo / Bajo rendimiento
2377,35,3.21,7.87,7.42,6.7,7.15,47.7,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
2642,38,3.35,10.46,5.26,5.58,2.59,84.16,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
2234,26,5.77,4.94,7.34,9.22,6.85,82.63,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
7928,29,1.75,3.18,5.12,2.76,8.43,70.49,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
8671,32,5.4,2.74,7.64,6.49,2.23,65.05,High,TikTok,3,0,Alto consumo / Alto rendimiento
8084,25,2.22,3.59,6.71,7.98,2.31,89.79,High,TikTok,3,0,Alto consumo / Alto rendimiento
8075,28,1.13,5.39,5.61,2.26,1.6,86.65,Medium,TikTok,2,3,Alto consumo / Bajo rendimiento
4095,37,0.78,6.31,4.21,9.19,3.36,51.03,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
3973,37,0.9,3.07,7.03,6.06,9.21,71.58,Medium,YouTube Shorts,2,2,Bajo consumo / Alto rendimiento
11536,41,1.98,7.71,4.96,5.33,8.06,77.22,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
4282,16,3.74,10.5,4.75,7.13,7.48,63.15,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
