user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform,stress_level_num,cluster,segmento
1,21,1.86,7.34,8.95,4.99,5.09,45.44,Medium,TikTok,2,3,Alto consumo / Bajo rendimiento
2,34,3.03,5.78,5.78,3.73,8.25,50.17,High,TikTok,3,3,Alto consumo / Bajo rendimiento
3,43,3.96,9.62,5.46,5.48,8.96,43.27,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
4,29,3.56,7.25,5.09,5.54,9.77,64.99,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
5,25,4.58,2.13,8.12,8.07,4.11,89.28,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
6,22,2.04,9.36,5.05,2.11,6.35,88.73,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
7,43,3.61,9.32,8.62,1.74,8.41,94.29,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
8,35,0.98,3.65,7.34,4.62,5.79,84.74,Medium,YouTube Shorts,2,2,Bajo consumo / Alto rendimiento
9,21,2.78,11.57,8.49,8.99,5.16,54.67,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
10,40,4.63,4.24,6.77,8.7,6.15,82.14,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
11,33,4.31,6.58,7.45,6.04,4.21,85.23,High,TikTok,3,0,Alto consumo / Alto rendimiento
12,37,5.95,3.15,7.1,9.0,2.73,72.59,Medium,YouTube Shorts,2,2,Bajo consumo / Alto rendimiento
13,25,2.03,8.03,8.16,8.25,1.6,88.42,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
14,25,3.24,5.75,8.18,3.5,6.49,44.28,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
15,38,2.31,5.53,6.95,2.53,4.41,75.69,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
16,35,2.92,10.27,7.16,3.71,8.95,68.79,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
17,18,5.21,2.1,8.61,3.04,3.01,88.31,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
18,22,4.26,9.98,8.65,6.6,3.8,47.68,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
19,38,5.35,7.71,7.32,6.26,9.73,52.76,High,TikTok,3,0,Alto consumo / Alto rendimiento
20,17,1.62,11.86,4.04,6.39,6.01,73.52,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
21,36,5.3,7.89,4.52,2.7,4.12,96.83,Medium,TikTok,2,3,Alto consumo / Bajo rendimiento
22,35,0.83,2.55,8.29,8.13,8.75,44.99,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
23,16,5.39,2.51,4.42,4.9,7.69,84.6,High,TikTok,3,3,Alto consumo / Bajo rendimiento
24,38,2.31,10.83,5.07,5.25,6.16,52.32,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
25,26,2.23,10.41,5.15,9.97,9.0,46.33,Medium,TikTok,2,0,Alto consumo / Alto rendimiento
26,44,3.32,5.46,7.0,3.54,1.85,63.69,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
27,20,5.67,8.18,6.88,4.55,4.55,74.98,Medium,TikTok,2,1,Alto consumo / Bajo rendimiento
28,16,0.76,6.9,5.45,7.09,8.29,89.62,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
29,42,2.44,11.67,5.04,8.92,4.47,78.08,High,TikTok,3,0,Alto consumo / Alto rendimiento
30,35,5.21,11.5,7.82,2.14,9.34,69.5,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
31,15,2.68,11.84,8.68,7.62,2.37,57.14,Medium,TikTok,2,1,Alto consumo / Bajo rendimiento
32,26,1.6,10.66,4.26,9.26,4.03,57.55,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
33,40,2.84,11.1,4.67,4.81,4.83,86.23,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
34,36,2.62,4.17,7.21,3.58,7.18,46.84,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
35,43,5.53,10.31,8.02,7.1,2.76,48.79,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
36,26,4.69,9.09,7.96,3.21,1.09,83.18,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
37,39,3.28,11.63,7.6,4.46,9.79,97.66,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
38,31,5.94,7.71,8.44,9.07,9.09,47.21,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
39,41,3.06,2.85,5.09,6.31,3.7,76.57,High,TikTok,3,3,Alto consumo / Bajo rendimiento
40,41,0.82,7.97,4.54,1.85,5.35,54.35,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
41,24,1.94,8.87,7.08,3.97,5.4,41.55,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
42,42,2.9,4.2,8.11,6.65,8.82,89.94,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
43,42,1.36,5.94,6.91,5.33,6.37,70.52,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
44,30,5.71,7.99,8.81,6.94,8.44,41.43,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
45,29,4.72,5.74,7.98,7.85,9.21,93.73,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
46,44,1.98,5.75,7.5,5.33,6.09,72.14,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
47,44,3.75,3.33,4.3,9.88,3.57,84.22,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
48,29,4.47,11.41,4.54,9.23,5.49,65.41,Medium,TikTok,2,0,Alto consumo / Alto rendimiento
49,44,5.68,9.5,7.92,1.54,8.66,51.09,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
50,33,5.35,2.01,4.99,3.4,6.25,67.93,Medium,TikTok,2,2,Bajo consumo / Alto rendimiento
51,26,3.33,9.66,4.14,3.7,9.06,57.26,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
52,37,4.76,9.4,8.55,2.66,9.06,57.8,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
53,34,3.59,2.1,8.45,3.81,4.36,78.63,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
